artist,uri
Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq
Morgan Wallen,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM
Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS
The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
Megan Thee Stallion,spotify:artist:181bsRPaVXVlUKXrxwZfHK
Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK
DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Moneybagg Yo,spotify:artist:3tJoFztHeIJkJWMrx0td2f
Lil Durk,spotify:artist:3hcs9uc56yIGFCSy9leWe7
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X
Polo G,spotify:artist:6AgTAQt8XS6jRWi4sX7w49
Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB
24kGoldn,spotify:artist:6fWVd57NKTalqvmjRd2t8Z
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
Giveon,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq
Masked Wolf,spotify:artist:1uU7g3DNSbsu0QjSEqZtEd
Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn
Gabby Barrett,spotify:artist:6Iz3eq2aQGFf7TbGT2iahL
Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ
Rod Wave,spotify:artist:45TgXXqMDdF8BkjA83OM7z
Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Walker Hayes,spotify:artist:7sKxqpSqbIzphAKAhrqvlf
Chris Stapleton,spotify:artist:4YLtscXsxbVgi031ovDDdh
Dan + Shay,spotify:artist:7z5WFjZAIYejWy0NI5lv4T
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym
AJR,spotify:artist:6s22t5Y3prQHyaHWUN1R1C
