artist,uri
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
Fetty Wap,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp
Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
WALK THE MOON,spotify:artist:6DIS6PRrLS3wbnZsf7vYic
Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
Silentó,spotify:artist:7juKTDFlPesGeWQ1GmjmOv
Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop
OMI,spotify:artist:5MouCg6ta7zAxsfMEbc1uh
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
Nick Jonas,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi
Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS
Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX
Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK
Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
Rae Sremmurd,spotify:artist:7iZtZyCzp3LItcw1wtPI3D
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Rachel Platten,spotify:artist:3QLIkT4rD2FMusaqmkepbq
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I
Andy Grammer,spotify:artist:2oX42qP5ineK3hrhBECLmj
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
Fifth Harmony,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt
Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
Adele,spotify:artist:4dpARuHxo51G3z768sgnrY
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY
DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4
Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp
Florida Georgia Line,spotify:artist:3b8QkneNDz4JHKKKlLgYZg
Rich Homie Quan,spotify:artist:5lHRUCqkQZCIWeX7xG4sYT
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8
Omarion,spotify:artist:0f5nVCcR06GX8Qikz0COtT
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Trey Songz,spotify:artist:2iojnBLj0qIMiKPvVhLnsH
Blake Shelton,spotify:artist:1UTPBmNbXNTittyMJrNkvw
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg
T-Wayne,spotify:artist:4MIULe6tfg2loNzBy5B9eu
Ne-Yo,spotify:artist:21E3waRsmPlU7jZsS13rcj
Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj
Kid Ink,spotify:artist:6KZDXtSj0SzGOV705nNeh3
X Ambassadors,spotify:artist:3NPpFNZtSTHheNBaWC82rB
Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg
Little Big Town,spotify:artist:3CygdxquGHurS7f9LjNLkv
Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo
Eric Church,spotify:artist:2IvkS5MXK0vPGnwyJsrEyV
Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY
R. City,spotify:artist:4TH4BHy0LdBi3dpBW4P2UX
Natalie La Rose,spotify:artist:2qdONMCoDngQk0eV4Avs1i
Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf
Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc
Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj
Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp
Jason Aldean,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Brett Eldredge,spotify:artist:0qSX3s5pJnAlSsgsCne8Cz
Vance Joy,spotify:artist:10exVja0key0uqUkk6LJRT
Chris Young,spotify:artist:4BYxqVkZyFjtik7crYLg5Q
Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O
Elle King,spotify:artist:3bhu7P5PfngueRHiB9hjcx
Iggy Azalea,spotify:artist:5yG7ZAZafVaAlMTeBybKAL
O.T. Genasis,spotify:artist:1Zatb2YN4erBOoSivOXc0o
iLoveMemphis,spotify:artist:3GsIlcwgQDJVjHD82mbA0Z
Cole Swindell,spotify:artist:1mfDfLsMxYcOOZkzBxvSVW
Skrillex,spotify:artist:5he5w2lnU9x7JFhnwcekXX
MØ,spotify:artist:0bdfiayQAKewqEvaU6rXCv
