artist,uri
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60
Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF
XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2
Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny
6ix9ine,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf
Florida Georgia Line,spotify:artist:3b8QkneNDz4JHKKKlLgYZg
Ella Mai,spotify:artist:7HkdQ0gt53LP4zmHsL0nap
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
Bebe Rexha,spotify:artist:64M6ah0SkkRsnPGtGiRAbb
Bazzi,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl
Marshmello,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
Lil Pump,spotify:artist:3wyVrVrFCkukjdVIdirGVY
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft
NF,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz
Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp
Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK
Dan + Shay,spotify:artist:7z5WFjZAIYejWy0NI5lv4T
Kane Brown,spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE
J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
YoungBoy Never Broke Again,spotify:artist:7wlFDEWiM5OoIAt8RSli8b
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI
